,GEO,Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A),Gender (3),VALUE
327,Alberta,20011 Architecture and science managers,Total - Gender,1595
328,Alberta,20011 Architecture and science managers,Men+,910
329,Alberta,20011 Architecture and science managers,Women+,680
330,Alberta,20012 Computer and information systems managers,Total - Gender,7235
331,Alberta,20012 Computer and information systems managers,Men+,5525
332,Alberta,20012 Computer and information systems managers,Women+,1710
333,Alberta,21 Professional occupations in natural and applied sciences,Total - Gender,104845
334,Alberta,21 Professional occupations in natural and applied sciences,Men+,78795
335,Alberta,21 Professional occupations in natural and applied sciences,Women+,26045
336,Alberta,211 Professional occupations in natural sciences,Total - Gender,15630
337,Alberta,211 Professional occupations in natural sciences,Men+,9465
338,Alberta,211 Professional occupations in natural sciences,Women+,6160
339,Alberta,2110 Physical science professionals,Total - Gender,6020
340,Alberta,2110 Physical science professionals,Men+,4270
341,Alberta,2110 Physical science professionals,Women+,1750
342,Alberta,21100 Physicists and astronomers,Total - Gender,165
343,Alberta,21100 Physicists and astronomers,Men+,135
344,Alberta,21100 Physicists and astronomers,Women+,30
345,Alberta,21101 Chemists,Total - Gender,1745
346,Alberta,21101 Chemists,Men+,1045
347,Alberta,21101 Chemists,Women+,705
348,Alberta,21102 Geoscientists and oceanographers,Total - Gender,3905
349,Alberta,21102 Geoscientists and oceanographers,Men+,2945
350,Alberta,21102 Geoscientists and oceanographers,Women+,960
351,Alberta,21103 Meteorologists and climatologists,Total - Gender,115
352,Alberta,21103 Meteorologists and climatologists,Men+,95
353,Alberta,21103 Meteorologists and climatologists,Women+,15
354,Alberta,21109 Other professional occupations in physical sciences,Total - Gender,90
355,Alberta,21109 Other professional occupations in physical sciences,Men+,50
356,Alberta,21109 Other professional occupations in physical sciences,Women+,40
357,Alberta,2111 Life science professionals,Total - Gender,5530
358,Alberta,2111 Life science professionals,Men+,2805
359,Alberta,2111 Life science professionals,Women+,2730
360,Alberta,21110 Biologists and related scientists,Total - Gender,3810
361,Alberta,21110 Biologists and related scientists,Men+,1720
362,Alberta,21110 Biologists and related scientists,Women+,2085
363,Alberta,21111 Forestry professionals,Total - Gender,480
364,Alberta,21111 Forestry professionals,Men+,325
365,Alberta,21111 Forestry professionals,Women+,155
366,Alberta,"21112 Agricultural representatives, consultants and specialists",Total - Gender,1245
367,Alberta,"21112 Agricultural representatives, consultants and specialists",Men+,760
368,Alberta,"21112 Agricultural representatives, consultants and specialists",Women+,485
369,Alberta,2112 Public and environmental health and safety professionals,Total - Gender,4080
370,Alberta,2112 Public and environmental health and safety professionals,Men+,2395
371,Alberta,2112 Public and environmental health and safety professionals,Women+,1685
372,Alberta,21120 Public and environmental health and safety professionals,Total - Gender,4080
373,Alberta,21120 Public and environmental health and safety professionals,Men+,2395
374,Alberta,21120 Public and environmental health and safety professionals,Women+,1685
375,Alberta,212 Professional occupations in applied sciences (except engineering),Total - Gender,48420
376,Alberta,212 Professional occupations in applied sciences (except engineering),Men+,35480
377,Alberta,212 Professional occupations in applied sciences (except engineering),Women+,12935
378,Alberta,"2120 Architects, urban planners and land surveyors",Total - Gender,5775
379,Alberta,"2120 Architects, urban planners and land surveyors",Men+,3980
380,Alberta,"2120 Architects, urban planners and land surveyors",Women+,1795
381,Alberta,21200 Architects,Total - Gender,1240
